issuer_name,source_file,source_effective_date,plan_year_demo,plan_group,therapeutic_category,therapeutic_subcategory,drug_name_display,tier,requirements_limits,prior_auth,step_therapy,quantity_limit,age_limit,specialty_flag,non_formulary,medical_benefit,notes
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,2026-01-01,2026,left,,,"amphetamine- dextroamphetamine CP24 20 MG, 25 MG, 30 MG",1B,QL(2 EA daily),False,False,QL(2 EA daily),,False,False,False,
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,2026-01-01,2026,left,,,"amphetamine- dextroamphetamine CP24 5 MG, 10 MG",1B,QL(1 EA daily),False,False,QL(1 EA daily),,False,False,False,
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,2026-01-01,2026,left,,,amphetamine- dextroamphetamine CP24 15 MG,1B,,False,False,,,False,False,False,
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,2026-01-01,2026,left,,,amphetamine- dextroamphetamine TABS 30 MG,1B,QL(2 EA daily),False,False,QL(2 EA daily),,False,False,False,
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,2026-01-01,2026,left,,,"amphetamine- dextroamphetamine TABS 5 MG, 7.5 MG, 10 MG, 12.5 MG, 15 MG, 20 MG",1B,QL(3 EA daily),False,False,QL(3 EA daily),,False,False,False,
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,2026-01-01,2026,left,,,"dextroamphetamine sulfate CP24 10 MG, 15 MG",1B,QL(4 EA daily),False,False,QL(4 EA daily),,False,False,False,
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,2026-01-01,2026,left,,,dextroamphetamine sulfate CP24 5 MG,1B,,False,False,,,False,False,False,
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,2026-01-01,2026,left,,,"dextroamphetamine sulfate TABS 5 MG, 10 MG",1B,QL(4 EA daily),False,False,QL(4 EA daily),,False,False,False,
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,2026-01-01,2026,left,,,"dextroamphetamine sulfate TABS 2.5 MG, 7.5 MG, 15 MG, 20 MG, 30 MG",1B,,False,False,,,False,False,False,
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,2026-01-01,2026,left,,,lisdexamfetamine dimesylate CAPS,1B,QL(1 EA daily); ST,False,True,QL(1 EA daily),,False,False,False,
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,2026-01-01,2026,left,,,lisdexamfetamine dimesylate CHEW,1B,QL(1 EA daily); ST,False,True,QL(1 EA daily),,False,False,False,
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,2026-01-01,2026,left,,,methamphetamine hcl,1B,QL(5 EA daily); AL(At least 6 yrs old),False,False,QL(5 EA daily),AL(At least 6 yrs old),False,False,False,
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,2026-01-01,2026,left,,,phendimetrazine tartrate TABS,1B,PA,True,False,,,False,False,False,
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,2026-01-01,2026,right,,,phentermine hcl CAPS,1B,PA,True,False,,,False,False,False,
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,2026-01-01,2026,right,,,"atomoxetine hcl 60 MG, 80 MG, 100 MG",1B,QL(1 EA daily); AL(At least 6 yrs old),False,False,QL(1 EA daily),AL(At least 6 yrs old),False,False,False,
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,2026-01-01,2026,right,,,"atomoxetine hcl 10 MG, 18 MG, 25 MG, 40 MG",1B,QL(2 EA daily); AL(At least 6 yrs old),False,False,QL(2 EA daily),AL(At least 6 yrs old),False,False,False,
Ambetter from Arizona Complete Health,2026-az-formulary.pdf,2026-01-01,2026,right,,,clonidine hcl (adhd) TB12,1B,,False,False,,,False,False,False,
