plan_id,issuer_name,plan_name,formulary_group,suggested_formulary_source
AZBLUE-EVERYDAYHEALTH-PROSANO-GOLD-1475,AZ Blue,EverydayHealth Prosano Gold 1475,AZBLUE_EXCHANGE_2026,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-EVERYDAYHEALTH-PROSANO-SILVER-7500,AZ Blue,EverydayHealth Prosano Silver 7500,AZBLUE_EXCHANGE_2026,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-EVERYDAYHEALTH-PROSANO-SILVER-4,AZ Blue,EverydayHealth Prosano Silver 4,AZBLUE_EXCHANGE_2026,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-EVERYDAYHEALTH-PROSANO-SILVER-5,AZ Blue,EverydayHealth Prosano Silver 5,AZBLUE_EXCHANGE_2026,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-EVERYDAYHEALTH-PROSANO-SILVER-6,AZ Blue,EverydayHealth Prosano Silver 6,AZBLUE_EXCHANGE_2026,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-EVERYDAYHEALTH-GOLD-1475,AZ Blue,EverydayHealth Gold 1475,AZBLUE_EXCHANGE_2026,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-EVERYDAYHEALTH-SILVER-7500,AZ Blue,EverydayHealth Silver 7500,AZBLUE_EXCHANGE_2026,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-EVERYDAYHEALTH-SILVER-4,AZ Blue,EverydayHealth Silver 4,AZBLUE_EXCHANGE_2026,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-EVERYDAYHEALTH-SILVER-5,AZ Blue,EverydayHealth Silver 5,AZBLUE_EXCHANGE_2026,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-EVERYDAYHEALTH-SILVER-6,AZ Blue,EverydayHealth Silver 6,AZBLUE_EXCHANGE_2026,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-ADVANCEHEALTH-GOLD-4800,AZ Blue,AdvanceHealth Gold 4800,AZBLUE_EXCHANGE_2026,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-ADVANCEHEALTH-SILVER-7200,AZ Blue,AdvanceHealth Silver 7200,AZBLUE_EXCHANGE_2026,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-ADVANCEHEALTH-BRONZE-10150,AZ Blue,AdvanceHealth Bronze 10150,AZBLUE_EXCHANGE_2026,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-ADVANCEHEALTH-SILVER-4,AZ Blue,AdvanceHealth Silver 4,AZBLUE_EXCHANGE_2026,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-ADVANCEHEALTH-SILVER-5,AZ Blue,AdvanceHealth Silver 5,AZBLUE_EXCHANGE_2026,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-ADVANCEHEALTH-SILVER-6,AZ Blue,AdvanceHealth Silver 6,AZBLUE_EXCHANGE_2026,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-PORTFOLIO-HSA-BRONZE-7100,AZ Blue,Portfolio HSA Bronze 7100,AZBLUE_EXCHANGE_2026,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-STANDARDHEALTH-GOLD-2000,AZ Blue,StandardHealth Gold 2000,AZBLUE_EXCHANGE_2026,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-STANDARDHEALTH-SILVER-6000,AZ Blue,StandardHealth Silver 6000,AZBLUE_EXCHANGE_2026,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-STANDARDHEALTH-BRONZE-7500,AZ Blue,StandardHealth Bronze 7500,AZBLUE_EXCHANGE_2026,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-STANDARDHEALTH-SILVER-4,AZ Blue,StandardHealth Silver 4,AZBLUE_EXCHANGE_2026,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-STANDARDHEALTH-SILVER-5,AZ Blue,StandardHealth Silver 5,AZBLUE_EXCHANGE_2026,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-STANDARDHEALTH-SILVER-6,AZ Blue,StandardHealth Silver 6,AZBLUE_EXCHANGE_2026,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
