issuer_name,plan_name,drug_rows
AZ Blue,AdvanceHealth Bronze 10150,2798
AZ Blue,AdvanceHealth Gold 4800,2798
AZ Blue,AdvanceHealth Silver 4,2798
AZ Blue,AdvanceHealth Silver 5,2798
AZ Blue,AdvanceHealth Silver 6,2798
AZ Blue,AdvanceHealth Silver 7200,2798
AZ Blue,EverydayHealth Gold 1475,2798
AZ Blue,EverydayHealth Prosano Gold 1475,2798
AZ Blue,EverydayHealth Prosano Silver 4,2798
AZ Blue,EverydayHealth Prosano Silver 5,2798
AZ Blue,EverydayHealth Prosano Silver 6,2798
AZ Blue,EverydayHealth Prosano Silver 7500,2798
AZ Blue,EverydayHealth Silver 4,2798
AZ Blue,EverydayHealth Silver 5,2798
AZ Blue,EverydayHealth Silver 6,2798
AZ Blue,EverydayHealth Silver 7500,2798
AZ Blue,Portfolio HSA Bronze 7100,2798
AZ Blue,StandardHealth Bronze 7500,2798
AZ Blue,StandardHealth Gold 2000,2798
AZ Blue,StandardHealth Silver 4,2798
AZ Blue,StandardHealth Silver 5,2798
AZ Blue,StandardHealth Silver 6,2798
AZ Blue,StandardHealth Silver 6000,2798
AZ Blue,StandardHealth with Health Choice Silver 4,2798
AZ Blue,StandardHealth with Health Choice Silver 5,2798
AZ Blue,StandardHealth with Health Choice Silver 6,2798
AZ Blue,StandardHealth with Health Choice Silver 6000,2798
Ambetter from Arizona Complete Health,Ambetter Health Premier Bronze,2720
Ambetter from Arizona Complete Health,Ambetter Health Premier Gold,2720
Ambetter from Arizona Complete Health,Ambetter Health Premier Silver,2720
Ambetter from Arizona Complete Health,Ambetter Health Solutions Bronze,2720
Ambetter from Arizona Complete Health,Ambetter Health Solutions Gold,2720
Ambetter from Arizona Complete Health,Ambetter Health Solutions Silver,2720
UnitedHealthcare,UnitedHealthcare Advantage,2045
UnitedHealthcare,UnitedHealthcare Arizona ACA Bronze,2045
UnitedHealthcare,UnitedHealthcare Arizona ACA Gold,2045
UnitedHealthcare,UnitedHealthcare Arizona ACA Silver,2045
UnitedHealthcare,UnitedHealthcare Copay Focus,2045
UnitedHealthcare,UnitedHealthcare Essential Bronze,2045
UnitedHealthcare,UnitedHealthcare Standard,2045
UnitedHealthcare,UnitedHealthcare Value Bronze,2045
UnitedHealthcare,UnitedHealthcare Value Gold,2045
UnitedHealthcare,UnitedHealthcare Value Silver,2045
