plan_id,plan_name,plan_family,plan_year,market,metal_level,state,county,issuer_name,formulary_group,applies_to,rule_type,rule_code,rule_name,rule_text,source_file,source_page,source_doc_url
AZBLUE-EVERYDAYHEALTH-PROSANO-GOLD-1475,EverydayHealth Prosano Gold 1475,EverydayHealth Prosano,2026,ACA On-Exchange,Gold,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026,,,,,,,,
AZBLUE-EVERYDAYHEALTH-PROSANO-SILVER-7500,EverydayHealth Prosano Silver 7500,EverydayHealth Prosano,2026,ACA On-Exchange,Silver,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026,,,,,,,,
AZBLUE-EVERYDAYHEALTH-PROSANO-SILVER-4,EverydayHealth Prosano Silver 4,EverydayHealth Prosano,2026,ACA On-Exchange,Silver,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026,,,,,,,,
AZBLUE-EVERYDAYHEALTH-PROSANO-SILVER-5,EverydayHealth Prosano Silver 5,EverydayHealth Prosano,2026,ACA On-Exchange,Silver,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026,,,,,,,,
AZBLUE-EVERYDAYHEALTH-PROSANO-SILVER-6,EverydayHealth Prosano Silver 6,EverydayHealth Prosano,2026,ACA On-Exchange,Silver,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026,,,,,,,,
AZBLUE-EVERYDAYHEALTH-GOLD-1475,EverydayHealth Gold 1475,EverydayHealth,2026,ACA On-Exchange,Gold,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026,,,,,,,,
AZBLUE-EVERYDAYHEALTH-SILVER-7500,EverydayHealth Silver 7500,EverydayHealth,2026,ACA On-Exchange,Silver,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026,,,,,,,,
AZBLUE-EVERYDAYHEALTH-SILVER-4,EverydayHealth Silver 4,EverydayHealth,2026,ACA On-Exchange,Silver,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026,,,,,,,,
AZBLUE-EVERYDAYHEALTH-SILVER-5,EverydayHealth Silver 5,EverydayHealth,2026,ACA On-Exchange,Silver,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026,,,,,,,,
AZBLUE-EVERYDAYHEALTH-SILVER-6,EverydayHealth Silver 6,EverydayHealth,2026,ACA On-Exchange,Silver,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026,,,,,,,,
AZBLUE-ADVANCEHEALTH-GOLD-4800,AdvanceHealth Gold 4800,AdvanceHealth,2026,ACA On-Exchange,Gold,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026,,,,,,,,
AZBLUE-ADVANCEHEALTH-SILVER-7200,AdvanceHealth Silver 7200,AdvanceHealth,2026,ACA On-Exchange,Silver,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026,,,,,,,,
AZBLUE-ADVANCEHEALTH-BRONZE-10150,AdvanceHealth Bronze 10150,AdvanceHealth,2026,ACA On-Exchange,Bronze,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026,,,,,,,,
AZBLUE-ADVANCEHEALTH-SILVER-4,AdvanceHealth Silver 4,AdvanceHealth,2026,ACA On-Exchange,Silver,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026,,,,,,,,
AZBLUE-ADVANCEHEALTH-SILVER-5,AdvanceHealth Silver 5,AdvanceHealth,2026,ACA On-Exchange,Silver,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026,,,,,,,,
AZBLUE-ADVANCEHEALTH-SILVER-6,AdvanceHealth Silver 6,AdvanceHealth,2026,ACA On-Exchange,Silver,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026,,,,,,,,
AZBLUE-PORTFOLIO-HSA-BRONZE-7100,Portfolio HSA Bronze 7100,Portfolio HSA,2026,ACA On-Exchange,Bronze,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026,,,,,,,,
AZBLUE-STANDARDHEALTH-GOLD-2000,StandardHealth Gold 2000,StandardHealth,2026,ACA On-Exchange,Gold,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026,,,,,,,,
AZBLUE-STANDARDHEALTH-SILVER-6000,StandardHealth Silver 6000,StandardHealth,2026,ACA On-Exchange,Silver,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026,,,,,,,,
AZBLUE-STANDARDHEALTH-BRONZE-7500,StandardHealth Bronze 7500,StandardHealth,2026,ACA On-Exchange,Bronze,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026,,,,,,,,
AZBLUE-STANDARDHEALTH-SILVER-4,StandardHealth Silver 4,StandardHealth,2026,ACA On-Exchange,Silver,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026,,,,,,,,
AZBLUE-STANDARDHEALTH-SILVER-5,StandardHealth Silver 5,StandardHealth,2026,ACA On-Exchange,Silver,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026,,,,,,,,
AZBLUE-STANDARDHEALTH-SILVER-6,StandardHealth Silver 6,StandardHealth,2026,ACA On-Exchange,Silver,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026,,,,,,,,
AZBLUE-STANDARDHEALTH-WITH-HEALTH-CHOICE-SILVER-6000,StandardHealth with Health Choice Silver 6000,StandardHealth with Health Choice,2026,ACA On-Exchange,Silver,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026,,,,,,,,
AZBLUE-STANDARDHEALTH-WITH-HEALTH-CHOICE-SILVER-4,StandardHealth with Health Choice Silver 4,StandardHealth with Health Choice,2026,ACA On-Exchange,Silver,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026,,,,,,,,
AZBLUE-STANDARDHEALTH-WITH-HEALTH-CHOICE-SILVER-5,StandardHealth with Health Choice Silver 5,StandardHealth with Health Choice,2026,ACA On-Exchange,Silver,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026,,,,,,,,
AZBLUE-STANDARDHEALTH-WITH-HEALTH-CHOICE-SILVER-6,StandardHealth with Health Choice Silver 6,StandardHealth with Health Choice,2026,ACA On-Exchange,Silver,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026,,,,,,,,
AZBLUE-EVERYDAYHEALTH-PROSANO-ZERO-COST-SHARE,EverydayHealth Prosano Zero Cost Share,EverydayHealth Prosano,2026,ACA On-Exchange,Zero Cost Share,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026_ZCS,,,,,,,,
AZBLUE-HMO-ZERO-COST-SHARE,HMO Zero Cost Share,Base Exchange,2026,ACA On-Exchange,Zero Cost Share,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026_ZCS,,,,,,,,
AZBLUE-ADVANCEHEALTH-ZCS,AdvanceHealth ZCS,AdvanceHealth,2026,ACA On-Exchange,Zero Cost Share,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026_ZCS,,,,,,,,
AZBLUE-PORTFOLIO-ZCS,Portfolio ZCS,Portfolio,2026,ACA On-Exchange,Zero Cost Share,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026_ZCS,,,,,,,,
AZBLUE-STANDARDHEALTH-ZCS,StandardHealth ZCS,StandardHealth,2026,ACA On-Exchange,Zero Cost Share,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026_ZCS,,,,,,,,
AZBLUE-ACA-STANDARDHEALTH-WITH-HEALTH-CHOICE-ZERO-COST-SHARE,ACA StandardHealth with Health Choice Zero Cost Share,StandardHealth with Health Choice,2026,ACA On-Exchange,Zero Cost Share,AZ,STATEWIDE_OR_UNKNOWN,AZ Blue,AZBLUE_EXCHANGE_2026_ZCS,,,,,,,,
AMB-PREMIER-BRONZE-2026,Ambetter Health Premier Bronze,Ambetter Health Premier,2026,ACA Marketplace,Bronze,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,tier_definition,0,Tier 0,No copayment for preventive drugs mandated by the ACA; certain age or gender limits apply.,2026-az-formulary.pdf,2.0,
AMB-PREMIER-BRONZE-2026,Ambetter Health Premier Bronze,Ambetter Health Premier,2026,ACA Marketplace,Bronze,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,tier_definition,1A,Tier 1A,Lowest copayment for select drugs that offer the greatest value compared to other drugs used to treat similar conditions.,2026-az-formulary.pdf,2.0,
AMB-PREMIER-BRONZE-2026,Ambetter Health Premier Bronze,Ambetter Health Premier,2026,ACA Marketplace,Bronze,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,tier_definition,1B,Tier 1B,Low copayment for drugs that offer great value compared to other drugs used to treat similar conditions.,2026-az-formulary.pdf,2.0,
AMB-PREMIER-BRONZE-2026,Ambetter Health Premier Bronze,Ambetter Health Premier,2026,ACA Marketplace,Bronze,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,tier_definition,2,Tier 2,Medium copayment covers brand name drugs that are generally more affordable or may be preferred compared to other drugs used to treat the same conditions.,2026-az-formulary.pdf,2.0,
AMB-PREMIER-BRONZE-2026,Ambetter Health Premier Bronze,Ambetter Health Premier,2026,ACA Marketplace,Bronze,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,tier_definition,3,Tier 3,High copayment covers higher cost brand name and non-preferred generic drugs.,2026-az-formulary.pdf,2.0,
AMB-PREMIER-BRONZE-2026,Ambetter Health Premier Bronze,Ambetter Health Premier,2026,ACA Marketplace,Bronze,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,tier_definition,4,Tier 4,"Highest copayment for specialty drugs used to treat complex, chronic conditions and may require special handling, storage, or clinical management.",2026-az-formulary.pdf,2.0,
AMB-PREMIER-BRONZE-2026,Ambetter Health Premier Bronze,Ambetter Health Premier,2026,ACA Marketplace,Bronze,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,tier_definition,6,Tier 6,Coverage for oncology or anti-cancer drugs; cost-share is set equivalent to the member's medical benefit cost-share.,2026-az-formulary.pdf,2.0,
AMB-PREMIER-BRONZE-2026,Ambetter Health Premier Bronze,Ambetter Health Premier,2026,ACA Marketplace,Bronze,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,coverage_rule,AL,Age limit,Some drugs are only covered for certain ages.,2026-az-formulary.pdf,3.0,
AMB-PREMIER-BRONZE-2026,Ambetter Health Premier Bronze,Ambetter Health Premier,2026,ACA Marketplace,Bronze,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,coverage_rule,QL,Quantity limit,Some drugs are only covered for a certain amount.,2026-az-formulary.pdf,3.0,
AMB-PREMIER-BRONZE-2026,Ambetter Health Premier Bronze,Ambetter Health Premier,2026,ACA Marketplace,Bronze,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,coverage_rule,PA,Prior authorization,Your doctor must ask for approval from Ambetter before some drugs will be covered.,2026-az-formulary.pdf,3.0,
AMB-PREMIER-BRONZE-2026,Ambetter Health Premier Bronze,Ambetter Health Premier,2026,ACA Marketplace,Bronze,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,coverage_rule,ST,Step therapy,"In some cases, you must first try certain drugs before Ambetter covers another drug for your medical condition.",2026-az-formulary.pdf,3.0,
AMB-PREMIER-BRONZE-2026,Ambetter Health Premier Bronze,Ambetter Health Premier,2026,ACA Marketplace,Bronze,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,coverage_rule,NF,Non-formulary,This product is not covered unless you or your provider request an exception; alternative medications are listed next to the non-covered product.,2026-az-formulary.pdf,3.0,
AMB-PREMIER-BRONZE-2026,Ambetter Health Premier Bronze,Ambetter Health Premier,2026,ACA Marketplace,Bronze,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,coverage_rule,SP,Specialty drug,These products are Specialty Drugs that may have special fill requirements.,2026-az-formulary.pdf,3.0,
AMB-PREMIER-BRONZE-2026,Ambetter Health Premier Bronze,Ambetter Health Premier,2026,ACA Marketplace,Bronze,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,coverage_rule,SF,Split fill,"Initially, certain medications may only be available in 15-day-supply increments until you are stabilized on the medication.",2026-az-formulary.pdf,3.0,
AMB-PREMIER-SILVER-2026,Ambetter Health Premier Silver,Ambetter Health Premier,2026,ACA Marketplace,Silver,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,tier_definition,0,Tier 0,No copayment for preventive drugs mandated by the ACA; certain age or gender limits apply.,2026-az-formulary.pdf,2.0,
AMB-PREMIER-SILVER-2026,Ambetter Health Premier Silver,Ambetter Health Premier,2026,ACA Marketplace,Silver,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,tier_definition,1A,Tier 1A,Lowest copayment for select drugs that offer the greatest value compared to other drugs used to treat similar conditions.,2026-az-formulary.pdf,2.0,
AMB-PREMIER-SILVER-2026,Ambetter Health Premier Silver,Ambetter Health Premier,2026,ACA Marketplace,Silver,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,tier_definition,1B,Tier 1B,Low copayment for drugs that offer great value compared to other drugs used to treat similar conditions.,2026-az-formulary.pdf,2.0,
AMB-PREMIER-SILVER-2026,Ambetter Health Premier Silver,Ambetter Health Premier,2026,ACA Marketplace,Silver,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,tier_definition,2,Tier 2,Medium copayment covers brand name drugs that are generally more affordable or may be preferred compared to other drugs used to treat the same conditions.,2026-az-formulary.pdf,2.0,
AMB-PREMIER-SILVER-2026,Ambetter Health Premier Silver,Ambetter Health Premier,2026,ACA Marketplace,Silver,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,tier_definition,3,Tier 3,High copayment covers higher cost brand name and non-preferred generic drugs.,2026-az-formulary.pdf,2.0,
AMB-PREMIER-SILVER-2026,Ambetter Health Premier Silver,Ambetter Health Premier,2026,ACA Marketplace,Silver,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,tier_definition,4,Tier 4,"Highest copayment for specialty drugs used to treat complex, chronic conditions and may require special handling, storage, or clinical management.",2026-az-formulary.pdf,2.0,
AMB-PREMIER-SILVER-2026,Ambetter Health Premier Silver,Ambetter Health Premier,2026,ACA Marketplace,Silver,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,tier_definition,6,Tier 6,Coverage for oncology or anti-cancer drugs; cost-share is set equivalent to the member's medical benefit cost-share.,2026-az-formulary.pdf,2.0,
AMB-PREMIER-SILVER-2026,Ambetter Health Premier Silver,Ambetter Health Premier,2026,ACA Marketplace,Silver,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,coverage_rule,AL,Age limit,Some drugs are only covered for certain ages.,2026-az-formulary.pdf,3.0,
AMB-PREMIER-SILVER-2026,Ambetter Health Premier Silver,Ambetter Health Premier,2026,ACA Marketplace,Silver,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,coverage_rule,QL,Quantity limit,Some drugs are only covered for a certain amount.,2026-az-formulary.pdf,3.0,
AMB-PREMIER-SILVER-2026,Ambetter Health Premier Silver,Ambetter Health Premier,2026,ACA Marketplace,Silver,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,coverage_rule,PA,Prior authorization,Your doctor must ask for approval from Ambetter before some drugs will be covered.,2026-az-formulary.pdf,3.0,
AMB-PREMIER-SILVER-2026,Ambetter Health Premier Silver,Ambetter Health Premier,2026,ACA Marketplace,Silver,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,coverage_rule,ST,Step therapy,"In some cases, you must first try certain drugs before Ambetter covers another drug for your medical condition.",2026-az-formulary.pdf,3.0,
AMB-PREMIER-SILVER-2026,Ambetter Health Premier Silver,Ambetter Health Premier,2026,ACA Marketplace,Silver,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,coverage_rule,NF,Non-formulary,This product is not covered unless you or your provider request an exception; alternative medications are listed next to the non-covered product.,2026-az-formulary.pdf,3.0,
AMB-PREMIER-SILVER-2026,Ambetter Health Premier Silver,Ambetter Health Premier,2026,ACA Marketplace,Silver,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,coverage_rule,SP,Specialty drug,These products are Specialty Drugs that may have special fill requirements.,2026-az-formulary.pdf,3.0,
AMB-PREMIER-SILVER-2026,Ambetter Health Premier Silver,Ambetter Health Premier,2026,ACA Marketplace,Silver,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,coverage_rule,SF,Split fill,"Initially, certain medications may only be available in 15-day-supply increments until you are stabilized on the medication.",2026-az-formulary.pdf,3.0,
AMB-PREMIER-GOLD-2026,Ambetter Health Premier Gold,Ambetter Health Premier,2026,ACA Marketplace,Gold,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,tier_definition,0,Tier 0,No copayment for preventive drugs mandated by the ACA; certain age or gender limits apply.,2026-az-formulary.pdf,2.0,
AMB-PREMIER-GOLD-2026,Ambetter Health Premier Gold,Ambetter Health Premier,2026,ACA Marketplace,Gold,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,tier_definition,1A,Tier 1A,Lowest copayment for select drugs that offer the greatest value compared to other drugs used to treat similar conditions.,2026-az-formulary.pdf,2.0,
AMB-PREMIER-GOLD-2026,Ambetter Health Premier Gold,Ambetter Health Premier,2026,ACA Marketplace,Gold,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,tier_definition,1B,Tier 1B,Low copayment for drugs that offer great value compared to other drugs used to treat similar conditions.,2026-az-formulary.pdf,2.0,
