plan_id,issuer_name,plan_name,plan_family,state,county,plan_year,market,metal_level,source_type,source_ref,formulary_group,notes
AZBLUE-EVERYDAYHEALTH-PROSANO-GOLD-1475,AZ Blue,EverydayHealth Prosano Gold 1475,EverydayHealth Prosano,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Gold,exact_plan_name_from_public_2026_page,AZBlue 2026 exchange documents page,AZBLUE_EXCHANGE_2026,Exact plan name listed on AZ Blue's 2026 on-exchange documents page.
AZBLUE-EVERYDAYHEALTH-PROSANO-SILVER-7500,AZ Blue,EverydayHealth Prosano Silver 7500,EverydayHealth Prosano,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Silver,exact_plan_name_from_public_2026_page,AZBlue 2026 exchange documents page,AZBLUE_EXCHANGE_2026,Exact plan name listed on AZ Blue's 2026 on-exchange documents page.
AZBLUE-EVERYDAYHEALTH-PROSANO-SILVER-4,AZ Blue,EverydayHealth Prosano Silver 4,EverydayHealth Prosano,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Silver,exact_plan_name_from_public_2026_page,AZBlue 2026 exchange documents page,AZBLUE_EXCHANGE_2026,Exact plan name listed on AZ Blue's 2026 on-exchange documents page.
AZBLUE-EVERYDAYHEALTH-PROSANO-SILVER-5,AZ Blue,EverydayHealth Prosano Silver 5,EverydayHealth Prosano,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Silver,exact_plan_name_from_public_2026_page,AZBlue 2026 exchange documents page,AZBLUE_EXCHANGE_2026,Exact plan name listed on AZ Blue's 2026 on-exchange documents page.
AZBLUE-EVERYDAYHEALTH-PROSANO-SILVER-6,AZ Blue,EverydayHealth Prosano Silver 6,EverydayHealth Prosano,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Silver,exact_plan_name_from_public_2026_page,AZBlue 2026 exchange documents page,AZBLUE_EXCHANGE_2026,Exact plan name listed on AZ Blue's 2026 on-exchange documents page.
AZBLUE-EVERYDAYHEALTH-GOLD-1475,AZ Blue,EverydayHealth Gold 1475,EverydayHealth,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Gold,exact_plan_name_from_public_2026_page,AZBlue 2026 exchange documents page,AZBLUE_EXCHANGE_2026,Exact plan name listed on AZ Blue's 2026 on-exchange documents page.
AZBLUE-EVERYDAYHEALTH-SILVER-7500,AZ Blue,EverydayHealth Silver 7500,EverydayHealth,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Silver,exact_plan_name_from_public_2026_page,AZBlue 2026 exchange documents page,AZBLUE_EXCHANGE_2026,Exact plan name listed on AZ Blue's 2026 on-exchange documents page.
AZBLUE-EVERYDAYHEALTH-SILVER-4,AZ Blue,EverydayHealth Silver 4,EverydayHealth,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Silver,exact_plan_name_from_public_2026_page,AZBlue 2026 exchange documents page,AZBLUE_EXCHANGE_2026,Exact plan name listed on AZ Blue's 2026 on-exchange documents page.
AZBLUE-EVERYDAYHEALTH-SILVER-5,AZ Blue,EverydayHealth Silver 5,EverydayHealth,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Silver,exact_plan_name_from_public_2026_page,AZBlue 2026 exchange documents page,AZBLUE_EXCHANGE_2026,Exact plan name listed on AZ Blue's 2026 on-exchange documents page.
AZBLUE-EVERYDAYHEALTH-SILVER-6,AZ Blue,EverydayHealth Silver 6,EverydayHealth,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Silver,exact_plan_name_from_public_2026_page,AZBlue 2026 exchange documents page,AZBLUE_EXCHANGE_2026,Exact plan name listed on AZ Blue's 2026 on-exchange documents page.
